0	title	release_year	genre	score	platfor
226	Guilty Gear XX Accent Core Plus	2012	Fighting	8.3	Xbox 360,PlayStation 3,PlayStation 2,PlayStation Portable,Wi
227	Uncharted: Fight For Fortune	2012	Card, Battle	7	PlayStation Vit
228	Modern Combat 4: Zero Hour	2012	Shooter	7.8	iPhon
229	Wonderbook: Book  of Spells	2012	Simulation, Adventure	6	PlayStation 
230	Rift: Storm Legion	2012	RPG	8.3	P
231	Joe Danger	2013	Action	9.1	iPhone,PlayStation 
232	Anarchy Reigns	2013	Action	5.9	Xbox 360,PlayStation 
233	Kentucky Route Zero: Act 1	2013	Adventure	8.3	P
234	Primordia	2013	Adventure	6.8	P
235	Mutant Mudds	2013	Platformer	9.1	iPhone,Nintendo 3D
236	Mass Effect 3 (Special Edition)	2012	RPG	9.5	Wii 
237	Nano Assault Neo	2012	Shooter	9	Wii 
238	Disney Epic Mickey: Power of Illusion	2012	Action, Adventure	7	Nintendo 3D
239	Borderlands 2: Mr. Torgue's Campaign of Carnage	2012	Shooter, RPG	9.2	PC,Xbox 360,PlayStation 
240	PlayStation All-Stars Battle Royale	2012	Fighting	8	PlayStation Vita,PlayStation 
241	Jetpack Joyride	2012	Platformer	7.4	PlayStation Portable,iPhon
242	The Walking Dead: Assault	2012	Adventure	7.5	iPhon
243	Miasmata	2012	Adventure	7.9	P
244	Bladeslinger: Episode 1	2012	Action	7.2	iPhon
245	Funky Barn	2012	Simulation	5	Wii 
246	ESPN Sports Connection	2012	Sports	3	Wii 
247	Infestation: Survivor Stories	2013	Action	3	P
248	Labyrinth Legends	2013	RPG	7.7	PlayStation 
249	Ace of Spades	2013	Shooter	5.9	P
250	Monsters Inc. Run	2013	Action	7.7	iPhon
251	Pudding Monsters	2012	Puzzle, Adventure	7.3	iPhon
252	NFL Quarterback Club '97	1996	Sports	5	PlayStatio
253	Namco Museum Vol. 2	1996	Action, Compilation	6	PlayStatio
254	Raven Project	1996	Action	3	PlayStation,PlayStatio
255	Silverload	1996	Adventure	6	PlayStation,PlayStatio
256	Return Fire	1996	Action	7	PlayStatio
257	Rise 2: Resurrection	1996	Fighting	2	PlayStatio
258	Robo Pit	1996	Fighting	6.5	PlayStatio
259	NBA ShootOut	1996	Sports	6	PlayStatio
260	Beyond The Beyond	1996	RPG	4	PlayStatio
261	Crash Bandicoot	1996	Platformer	7.5	PlayStation,PlayStation Portabl
262	Bust-A-Move 2: Arcade Edition	1996	Puzzle	8	PlayStatio
263	CyberSpeed	1996	Racing	5	PlayStatio
264	D	1996	Adventure	7	PlayStatio
265	Assault Rigs	1996	Action	6	PlayStatio
266	ESPN Extreme Games	1996	Sports	5	PlayStatio
267	Doom (1993)	1996	Shooter	7	PlayStation,Game Boy Advance,Xbox 360,Sega 32
268	Bottom of the 9th	1996	Sports	8	PlayStation,Nintendo 6
269	Adidas Power Soccer	1996	Sports	7	PlayStatio
270	Agile Warrior F-111X	1996	Action	2	PlayStatio
271	Alien Trilogy	1996	Action	8	PlayStatio
272	Alone in the Dark: One Eyed Jack's Revenge	1996	Adventure	6	PlayStatio
273	Fade to Black	1996	Adventure	7	PlayStatio
274	Die Hard Trilogy	1996	Action	7.5	PlayStation,PlayStatio
275	Discworld	1996	Adventure	7	PlayStation,PlayStatio
276	Battle Arena Toshinden 2	1996	Fighting	6	PlayStatio
277	A-Train	1996	Strategy	6	PlayStatio
278	Casper -- A Haunting 3D Challenge	1996	Action	4	PlayStatio
279	Bogey Dead 6	1996	Flight, Action	6	PlayStatio
280	Namco Museum Vol. 1	1996	Action, Compilation	8	PlayStation,PlayStatio
281	Road & Track Presents: The Need for Speed	1996	Racing	7	PlayStation,PlayStatio
282	Romance of the Three Kingdoms IV: Wall of Fire	1996	Strategy	6	PlayStation,PlayStation,Wi
283	PGA Tour '96	1996	Sports	7	PlayStation,PlayStatio
284	Rayman	1996	Platformer	7	PlayStation,PlayStation,Game Boy Color,Nintendo DS
285	Raiden Project	1996	Shooter	6	PlayStatio
286	Andretti Racing	1996	Racing	8	PlayStatio
287	Gunship	1996	Simulation	3	PlayStatio
288	Olympic Summer Games: Atlanta '96	1996	Sports	6	PlayStation,PlayStatio
289	Revolution X	1996	Action	1	PlayStation,PlayStatio
290	Shockwave Assault	1996	Action	4	PlayStatio
291	HardBall 5	1996	Sports	4	PlayStatio
292	Twisted Metal [1996]	1996	Action	7	PlayStation,PlayStatio
293	WipEout XL	1996	Racing	9	PlayStation,PlayStatio
294	WipEout	1996	Racing	8	PlayStation,PlayStation Portabl
295	Tobal No. 1	1996	Fighting	8.7	PlayStation,PlayStatio
296	Star Gladiator Episode 1: Final Crusade	1996	Fighting	8	PlayStatio
297	Starfighter	1996	Action	7	PlayStatio
298	Battle Arena Toshinden	1996	Fighting	7	PlayStatio
299	Destruction Derby	1996	Racing, Action	7	PlayStation,PlayStation Portabl
300	Aquanaut's Holiday	1996	Simulation	8	PlayStatio
301	Creature Shock (Special Edition)	1996	Action	2	PlayStatio
302	Air Combat	1996	Flight, Action	7	PlayStatio
303	Descent	1996	Action	7	PlayStatio
304	Cyber Sled	1996	Action	5	PlayStatio
